<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;60;20170119;110000;131.7700000;133.2900000;131.5500000;133.2300000;799140
MOEX;60;20170119;120000;133.2000000;134.2000000;132.5100000;133.5500000;1356130
MOEX;60;20170119;130000;133.5500000;134.4000000;133.0000000;133.8600000;915720
MOEX;60;20170119;140000;133.8700000;134.0000000;132.8800000;133.2300000;631210
MOEX;60;20170119;150000;133.1500000;133.3700000;131.1800000;131.2500000;1126450
MOEX;60;20170119;160000;131.2300000;131.7500000;130.2100000;131.3200000;959820
MOEX;60;20170119;170000;131.3300000;131.5600000;130.5000000;130.5600000;404200
MOEX;60;20170119;180000;130.5500000;131.1100000;130.0600000;130.1700000;677570
MOEX;60;20170119;190000;130.1700000;131.6800000;130.0800000;131.6800000;754570
MOEX;60;20170120;110000;131.1800000;131.6600000;130.3100000;131.6000000;291150
MOEX;60;20170120;120000;131.6100000;132.3900000;130.6200000;131.1400000;321990
MOEX;60;20170120;130000;131.1600000;132.0000000;130.2600000;131.1600000;354290
MOEX;60;20170120;140000;131.1200000;131.3700000;130.7000000;131.2800000;130280
MOEX;60;20170120;150000;131.2700000;131.8600000;131.1500000;131.2300000;438200
MOEX;60;20170120;160000;131.2400000;131.3500000;130.8800000;130.8900000;222740
MOEX;60;20170120;170000;130.9600000;131.3500000;130.5800000;130.7400000;217550
MOEX;60;20170120;180000;130.7300000;130.7400000;129.7400000;130.1800000;697190
MOEX;60;20170120;190000;130.1800000;130.7500000;129.9100000;130.7500000;602440
MOEX;60;20170123;110000;130.7000000;132.1200000;128.5500000;132.1200000;1688670
MOEX;60;20170123;120000;132.1200000;132.4900000;130.5600000;131.4000000;590120
MOEX;60;20170123;130000;131.4100000;131.6500000;131.0700000;131.5500000;141100
MOEX;60;20170123;140000;131.5500000;131.9100000;131.4000000;131.7500000;159670
MOEX;60;20170123;150000;131.7200000;131.7200000;131.0700000;131.5100000;177860
MOEX;60;20170123;160000;131.4700000;132.1300000;131.1400000;131.3800000;280490
MOEX;60;20170123;170000;131.3900000;131.7200000;131.0700000;131.3000000;208770
MOEX;60;20170123;180000;131.2800000;131.7000000;130.7100000;131.0100000;439670
MOEX;60;20170123;190000;131.0300000;131.2500000;129.6300000;130.4000000;649690
MOEX;60;20170124;110000;130.6500000;131.3800000;130.1400000;131.1300000;339400
MOEX;60;20170124;120000;131.1300000;131.1600000;130.1000000;130.5900000;606670
MOEX;60;20170124;130000;130.6200000;130.7200000;130.3800000;130.5300000;197890
MOEX;60;20170124;140000;130.5300000;131.4800000;130.4000000;131.2100000;800040
MOEX;60;20170124;150000;131.2100000;131.7500000;130.5500000;130.6500000;1163530
MOEX;60;20170124;160000;130.6600000;131.5100000;130.3300000;130.5000000;965040
MOEX;60;20170124;170000;130.5000000;131.0800000;130.4100000;130.8200000;609040
MOEX;60;20170124;180000;130.8100000;130.9300000;130.4300000;130.8200000;240600
MOEX;60;20170124;190000;130.8100000;131.6100000;130.4100000;131.6100000;792270
MOEX;60;20170125;110000;131.5000000;132.2300000;131.0600000;131.6400000;688350
