<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MICEX10INDEX;D;20090119;000000;1159.9700000;1169.8500000;1082.2400000;1097.6200000;15808146313
RI.MICEX10INDEX;D;20090120;000000;1096.4900000;1098.1900000;1030.4800000;1059.7600000;16027354123
RI.MICEX10INDEX;D;20090121;000000;1051.9200000;1096.2300000;1019.3900000;1080.6100000;19188742249
RI.MICEX10INDEX;D;20090122;000000;1085.7300000;1109.4400000;1017.0300000;1020.7700000;18742212747
RI.MICEX10INDEX;D;20090123;000000;1021.0100000;1034.6400000;967.5900000;1004.2800000;15765802631
RI.MICEX10INDEX;D;20090126;000000;1011.3800000;1116.7800000;994.3900000;1113.6800000;25653797228
RI.MICEX10INDEX;D;20090127;000000;1115.4300000;1130.6300000;1076.1100000;1095.2600000;28141299912
RI.MICEX10INDEX;D;20090128;000000;1101.3800000;1137.0100000;1095.9400000;1121.4500000;22576813082
RI.MICEX10INDEX;D;20090129;000000;1125.1400000;1138.5800000;1097.5200000;1128.9700000;19720946002
RI.MICEX10INDEX;D;20090130;000000;1123.1700000;1179.8200000;1116.5300000;1140.4600000;23679639067
RI.MICEX10INDEX;D;20090202;000000;1139.5000000;1151.7000000;1103.6800000;1144.0600000;18682339589
RI.MICEX10INDEX;D;20090203;000000;1149.1300000;1161.4800000;1139.8900000;1142.7700000;16816805947
RI.MICEX10INDEX;D;20090204;000000;1148.1800000;1171.8900000;1139.0600000;1160.4200000;22118894858
RI.MICEX10INDEX;D;20090205;000000;1145.9100000;1162.5400000;1126.1500000;1134.1800000;14934559301
RI.MICEX10INDEX;D;20090206;000000;1142.9800000;1186.7900000;1142.9800000;1185.0200000;19703777907
RI.MICEX10INDEX;D;20090209;000000;1186.6900000;1249.9600000;1178.8900000;1243.8100000;37045518615
RI.MICEX10INDEX;D;20090210;000000;1242.3800000;1329.4900000;1225.6500000;1317.8700000;47570265397
RI.MICEX10INDEX;D;20090211;000000;1297.0500000;1357.4400000;1267.6500000;1331.0500000;50589416754
RI.MICEX10INDEX;D;20090212;000000;1332.6400000;1358.0800000;1243.3800000;1247.3600000;43735871529
RI.MICEX10INDEX;D;20090213;000000;1269.4700000;1343.4000000;1269.4700000;1339.1000000;28015745914
RI.MICEX10INDEX;D;20090216;000000;1337.9400000;1366.9600000;1295.8600000;1301.9100000;21045170834
RI.MICEX10INDEX;D;20090217;000000;1295.6100000;1295.6100000;1180.4200000;1188.2400000;29346580735
RI.MICEX10INDEX;D;20090218;000000;1188.1400000;1203.4500000;1102.7400000;1155.9500000;37447258253
RI.MICEX10INDEX;D;20090219;000000;1164.5400000;1222.6700000;1164.5400000;1191.2500000;26833833055
RI.MICEX10INDEX;D;20090220;000000;1178.9500000;1183.4500000;1139.7900000;1164.5000000;19975185232
RI.MICEX10INDEX;D;20090224;000000;1142.9200000;1175.6100000;1128.0100000;1162.2900000;18512290620
RI.MICEX10INDEX;D;20090225;000000;1180.4600000;1195.0000000;1162.1300000;1165.3400000;18937201647
RI.MICEX10INDEX;D;20090226;000000;1182.0200000;1229.7900000;1181.2000000;1228.0600000;25880904729
RI.MICEX10INDEX;D;20090227;000000;1226.2900000;1236.8000000;1196.9100000;1225.7700000;24428829226
RI.MICEX10INDEX;D;20090302;000000;1205.8300000;1214.3100000;1190.2500000;1195.6400000;15955461443
