<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.MICEXLC,D,20090119,000000,1009.3000000,1017.4700000,955.8100000,967.4700000,17211878637
RI.MICEXLC,D,20090120,000000,965.3800000,968.1000000,918.9400000,939.1800000,17205603389
RI.MICEXLC,D,20090121,000000,922.5500000,978.4100000,904.9300000,963.1500000,19934985179
RI.MICEXLC,D,20090122,000000,970.9200000,986.7500000,917.0200000,918.5200000,19980622098
RI.MICEXLC,D,20090123,000000,919.4200000,932.4800000,882.1200000,913.4700000,16549167063
RI.MICEXLC,D,20090126,000000,914.9300000,1018.2100000,910.7900000,1014.8600000,27844096118
RI.MICEXLC,D,20090127,000000,1016.6700000,1032.4600000,979.4000000,990.9200000,29934253059
RI.MICEXLC,D,20090128,000000,996.6000000,1031.5500000,992.1000000,1021.8700000,24224540355
RI.MICEXLC,D,20090129,000000,1022.6300000,1030.2900000,1000.1800000,1019.6300000,21091851122
RI.MICEXLC,D,20090130,000000,1015.9200000,1068.8700000,1009.2700000,1029.1100000,25406807138
RI.MICEXLC,D,20090202,000000,1024.4100000,1035.5000000,995.1600000,1030.2600000,20103334797
RI.MICEXLC,D,20090203,000000,1030.3900000,1045.4600000,1024.3300000,1027.6100000,18178235657
RI.MICEXLC,D,20090204,000000,1034.7200000,1049.5000000,1024.2600000,1042.8900000,23160601686
RI.MICEXLC,D,20090205,000000,1030.2600000,1050.7000000,1013.0200000,1020.1000000,16407597281
RI.MICEXLC,D,20090206,000000,1033.6800000,1076.1700000,1030.4500000,1075.7100000,21319882317
RI.MICEXLC,D,20090209,000000,1075.5100000,1149.1200000,1070.8100000,1149.1200000,39033920234
RI.MICEXLC,D,20090210,000000,1147.6300000,1218.6900000,1125.4500000,1204.3600000,49102761198
RI.MICEXLC,D,20090211,000000,1173.3000000,1232.0100000,1153.4700000,1203.0500000,52370372885
RI.MICEXLC,D,20090212,000000,1203.8100000,1220.6800000,1136.4800000,1138.4400000,45231874370
RI.MICEXLC,D,20090213,000000,1162.0500000,1210.6900000,1162.0500000,1207.8100000,29248824083
RI.MICEXLC,D,20090216,000000,1199.7900000,1225.4000000,1164.9900000,1172.4300000,22496066900
RI.MICEXLC,D,20090217,000000,1162.1200000,1162.1200000,1053.4000000,1057.2900000,30973014983
RI.MICEXLC,D,20090218,000000,1054.2700000,1069.6800000,984.7900000,1030.1000000,38802358855
RI.MICEXLC,D,20090219,000000,1036.8300000,1089.6300000,1036.8300000,1059.3900000,28029606822
RI.MICEXLC,D,20090220,000000,1043.9400000,1048.9700000,1014.5900000,1033.4600000,20927011615
RI.MICEXLC,D,20090224,000000,1019.5800000,1039.7700000,997.9200000,1028.8400000,19400307076
RI.MICEXLC,D,20090225,000000,1038.4500000,1062.1500000,1031.1700000,1034.1200000,20148826471
RI.MICEXLC,D,20090226,000000,1044.5800000,1105.1400000,1044.5800000,1104.4100000,27359798113
RI.MICEXLC,D,20090227,000000,1099.8000000,1110.7100000,1067.7300000,1095.8200000,25830739043
RI.MICEXLC,D,20090302,000000,1071.0500000,1078.7000000,1056.3300000,1062.0900000,17331744014
RI.MICEXLC,D,20090303,000000,1050.8800000,1084.0700000,1047.6300000,1074.9100000,25246562866
RI.MICEXLC,D,20090304,000000,1085.3200000,1130.0900000,1085.2200000,1129.7400000,33623231597
RI.MICEXLC,D,20090305,000000,1137.3100000,1140.9900000,1091.8900000,1106.8800000,25422037534
RI.MICEXLC,D,20090306,000000,1097.9100000,1145.8700000,1095.4800000,1135.9800000,24321614198
RI.MICEXLC,D,20090310,000000,1151.9700000,1252.8900000,1151.9700000,1244.0400000,43892363741
RI.MICEXLC,D,20090311,000000,1248.6100000,1260.0100000,1214.0300000,1223.7000000,45754942399
RI.MICEXLC,D,20090312,000000,1217.3200000,1228.3100000,1167.5500000,1206.5000000,37091416656
RI.MICEXLC,D,20090313,000000,1240.2600000,1267.6500000,1229.2500000,1244.4800000,47823683283
RI.MICEXLC,D,20090316,000000,1239.4600000,1266.8200000,1223.8500000,1266.6000000,36552310063
RI.MICEXLC,D,20090317,000000,1268.9500000,1297.7800000,1263.8600000,1286.1500000,51369374363
RI.MICEXLC,D,20090318,000000,1305.0200000,1319.8500000,1233.1200000,1235.6500000,43957748253
RI.MICEXLC,D,20090319,000000,1263.4000000,1326.2100000,1263.4000000,1311.1800000,61106750577
RI.MICEXLC,D,20090320,000000,1308.7100000,1339.8100000,1282.3000000,1319.3000000,50459724223
RI.MICEXLC,D,20090323,000000,1340.2500000,1422.3700000,1340.2500000,1420.5300000,61012053186
RI.MICEXLC,D,20090324,000000,1439.3800000,1454.6800000,1350.6000000,1361.3600000,49386882271
RI.MICEXLC,D,20090325,000000,1359.9100000,1431.7800000,1348.6300000,1422.9400000,58042943536
RI.MICEXLC,D,20090326,000000,1435.1200000,1441.6900000,1400.6900000,1415.3100000,43587898308
RI.MICEXLC,D,20090327,000000,1419.7700000,1429.9400000,1339.0100000,1353.7700000,42614898537
RI.MICEXLC,D,20090330,000000,1340.6300000,1340.6300000,1262.7200000,1262.7200000,32224367953
RI.MICEXLC,D,20090331,000000,1262.7200000,1312.2500000,1262.7200000,1276.5600000,34380221260
RI.MICEXLC,D,20090401,000000,1276.5600000,1298.1200000,1249.0700000,1297.1500000,30369476518
RI.MICEXLC,D,20090402,000000,1297.1500000,1385.8600000,1297.1500000,1385.2800000,43929191619
RI.MICEXLC,D,20090403,000000,1385.2800000,1407.8700000,1357.6600000,1385.3600000,39316355845
RI.MICEXLC,D,20090406,000000,1385.3600000,1454.9500000,1372.7500000,1384.3500000,47900360206
RI.MICEXLC,D,20090407,000000,1384.3500000,1421.1200000,1350.0800000,1397.7200000,37476631390
RI.MICEXLC,D,20090408,000000,1397.7200000,1444.4800000,1359.6800000,1444.3400000,46900578375
RI.MICEXLC,D,20090409,000000,1444.3400000,1534.1600000,1444.3400000,1526.8600000,60173780611
RI.MICEXLC,D,20090410,000000,1526.8600000,1544.5500000,1499.8100000,1535.6500000,30840887959
